,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
1633,EC319794,75013,2023-03-20,2023-03-24,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,39.7,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,805491,211034,"{""coordinates"": [[[2.370528477739128, 48.83710639711355], [2.370492840435999, 48.837193641354006], [2.3705449866782917, 48.8372016871901], [2.3705813507629907, 48.83711517524536], [2.370528477739128, 48.83710639711355]]], ""type"": ""Polygon""}","48.83715408736359, 2.3705369400122343",pentagone
1634,EC320017,75006,2023-02-20,2023-05-19,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,69.09,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,792871,211160,"{""coordinates"": [[[2.3250022719163246, 48.84779981648111], [2.3250120833995944, 48.84778803264934], [2.3244944360108133, 48.847587934254115], [2.3244846171754547, 48.8476001739806], [2.3244852889438805, 48.84760154390301], [2.3250022719163246, 48.84779981648111]]], ""type"": ""Polygon""}","48.84769261128862, 2.3247440540765028",hexagone
1635,EC320171,75011,2023-02-07,2023-06-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,8.03,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,808070,211270,"{""coordinates"": [[[2.3869263423701543, 48.85536721912097], [2.3869571418885154, 48.855337146200476], [2.386934513942479, 48.85532716980696], [2.3869039429104455, 48.85535693541592], [2.3869263423701543, 48.85536721912097]]], ""type"": ""Polygon""}","48.85534713212306, 2.3869304961372713",pentagone
1636,EC320194,75020,2023-02-20,2023-03-30,Opérateurs de réseau (gaz-électricité-RATP-etc),ORANGE,68.31,Travaux sur réseau télécom,EMPRISE_TROTTOIR,,808125,211286,"{""coordinates"": [[[2.3909696806680696, 48.87402446225869], [2.390946250114963, 48.874035726809765], [2.391217258646992, 48.874252262809655], [2.391244126471681, 48.87424215334436], [2.3909696806680696, 48.87402446225869]]], ""type"": ""Polygon""}","48.87413957597957, 2.3910955157538996",pentagone
1637,EC320270,75004,2023-01-31,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,38.49,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,STATIONNEMENT_PAYANT,747470,203412,"{""coordinates"": [[[2.366520072763755, 48.855612327128036], [2.366470341898637, 48.855479825113015], [2.366436597303006, 48.855485475141485], [2.366486880028114, 48.85561798009199], [2.366520072763755, 48.855612327128036]]], ""type"": ""Polygon""}","48.855548731371876, 2.36647840662966",pentagone
1638,EC320509,75018,2023-02-14,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,5.69,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,808958,211467,"{""coordinates"": [[[2.3393214505004734, 48.8902398250472], [2.3392412036439185, 48.89025122187273], [2.3392493971504336, 48.890258552517075], [2.339329638231547, 48.89024761161198], [2.3393214505004734, 48.8902398250472]]], ""type"": ""Polygon""}","48.89024925065633, 2.339285768554445",pentagone
1639,EC320646,75007,2023-03-13,2023-10-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,9.03,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,800521,210319,"{""coordinates"": [[[2.3171572570056287, 48.8476933676158], [2.3172033387134534, 48.847704559660706], [2.3172146575423938, 48.84768322214671], [2.317169265327074, 48.847672034041054], [2.3171572570056287, 48.8476933676158]]], ""type"": ""Polygon""}","48.84768831322966, 2.3171860907231876",pentagone
1640,EC320690,75018,2023-02-09,2023-05-09,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,7.59,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,809623,211587,"{""coordinates"": [[[2.355140880866414, 48.884279872999635], [2.3551479819426158, 48.884263973348496], [2.355088657667965, 48.88425955557639], [2.3550870733739044, 48.88427594000038], [2.355140880866414, 48.884279872999635]]], ""type"": ""Polygon""}","48.88426970216326, 2.3551161616817518",pentagone
1641,EC320782,75002,2023-03-20,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.56,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,809696,211628,"{""coordinates"": [[[2.350193230187774, 48.86875965597403], [2.350202025173069, 48.86874627025817], [2.3500744408236054, 48.86870960387867], [2.3500656458117164, 48.8687229895856], [2.350193230187774, 48.86875965597403]]], ""type"": ""Polygon""}","48.86873462992462, 2.3501338354997454",pentagone
1642,EC320797,75007,2023-02-13,2023-04-07,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,43.93,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,809727,211642,"{""coordinates"": [[[2.3122568796106964, 48.84747296444425], [2.3122355988820877, 48.84751701339488], [2.312193668347151, 48.847557300309845], [2.3121427270461807, 48.84760072364225], [2.312111265517109, 48.84763196377371], [2.3121131189383006, 48.847648367106395], [2.312163250630313, 48.84761404697539], [2.3122588817029284, 48.84753035347383], [2.312284374090043, 48.847480864203476], [2.3122568796106964, 48.84747296444425]]], ""type"": ""Polygon""}","48.84755832870062, 2.312204609123215",décagone
1643,EC320890,75015,2023-03-20,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,20.81,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,809947,211708,"{""coordinates"": [[[2.283936417054066, 48.84432064967458], [2.2840618990438397, 48.8442685007741], [2.2840464038774604, 48.844253682692205], [2.2839217250989963, 48.84430747323422], [2.283936417054066, 48.84432064967458]]], ""type"": ""Polygon""}","48.84428714135624, 2.2839926177251466",pentagone
1644,EC321133,75014,2023-02-20,2023-06-09,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,27.2,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,810140,211867,"{""coordinates"": [[[2.3304357988633497, 48.823682148396216], [2.3305263357644423, 48.82369404054224], [2.3305326917707507, 48.82365559616355], [2.330444863215673, 48.823647591015806], [2.3304357988633497, 48.823682148396216]]], ""type"": ""Polygon""}","48.823670041184755, 2.330485610668932",pentagone
1645,EC321173,75015,2023-02-20,2023-04-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,17.1,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,810164,211883,"{""coordinates"": [[[2.3088454028858485, 48.847063536466685], [2.3088363690648177, 48.84707878514147], [2.3089508327454626, 48.84710494689394], [2.308962641622381, 48.84708862151382], [2.3088454028858485, 48.847063536466685]]], ""type"": ""Polygon""}","48.84708415156539, 2.308899727158588",pentagone
1646,EC321320,75011,2023-03-13,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.46,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,810275,211969,"{""coordinates"": [[[2.375489416969589, 48.86973434283416], [2.375514172337244, 48.86974221259992], [2.375568077595718, 48.86967919929559], [2.3755440297711274, 48.869669966237375], [2.375489416969589, 48.86973434283416]]], ""type"": ""Polygon""}","48.869706340343114, 2.375528949310074",pentagone
1647,EC321343,75010,2023-02-20,2023-06-23,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.88,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,810300,211981,"{""coordinates"": [[[2.3646215560671395, 48.8840805709692], [2.3645495516967405, 48.88398365319745], [2.3645349363024533, 48.88399313817779], [2.3646035394886917, 48.88408593967142], [2.3646215560671395, 48.8840805709692]]], ""type"": ""Polygon""}","48.88403592483529, 2.3645775506978532",pentagone
1648,EC321393,75015,2023-02-20,2023-05-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,4.1,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,810306,211986,"{""coordinates"": [[[2.2971432030136834, 48.84912932028587], [2.2971563215312134, 48.849145128101775], [2.29718072626236, 48.8491370935608], [2.2971686487642433, 48.84912088984774], [2.2971432030136834, 48.84912932028587]]], ""type"": ""Polygon""}","48.849133048729996, 2.2971621850382022",pentagone
1649,EC321707,75015,2023-02-15,2023-06-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,22.15,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,810610,212214,"{""coordinates"": [[[2.3009870610099177, 48.83832581842592], [2.3008866005239557, 48.8384094762881], [2.3009050603985046, 48.83842187947527], [2.301006246868961, 48.83833549355213], [2.3009870610099177, 48.83832581842592]]], ""type"": ""Polygon""}","48.838373744106256, 2.30094561594561",pentagone
1650,EC321782,75008,2023-03-06,2023-05-26,Opérateurs de réseau (gaz-électricité-RATP-etc),FRAICHEUR DE PARIS,0.87,,EMPRISE_TROTTOIR,AUTOLIB,810673,212258,"{""coordinates"": [[[2.303635123640432, 48.8696241774171], [2.303645385646203, 48.869631066748575], [2.303652389185419, 48.86962359436328], [2.30364347932539, 48.86961876160761], [2.303635123640432, 48.8696241774171]]], ""type"": ""Polygon""}","48.86962457720226, 2.3036440357680643",pentagone
1651,EC321786,75008,2023-03-06,2024-06-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,18.36,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,799148,210040,"{""coordinates"": [[[2.309625282703761, 48.87577207814895], [2.3097413096639974, 48.87582055973457], [2.309755979643677, 48.87580743931967], [2.3096392702583115, 48.87575849784676], [2.309625282703761, 48.87577207814895]]], ""type"": ""Polygon""}","48.87578959945213, 2.309690381572557",pentagone
1652,EC321899,75016,2023-02-15,2023-04-07,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,13.71,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,810811,212362,"{""coordinates"": [[[2.2826499601290973, 48.856792531048065], [2.2825999977067486, 48.85676240431799], [2.282573880203705, 48.85677977981704], [2.2826210783920717, 48.856810117523366], [2.2826499601290973, 48.856792531048065]]], ""type"": ""Polygon""}","48.85678631196085, 2.2826115130825766",pentagone
1653,EC321941,75005,2023-02-27,2023-08-25,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,17.84,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,810865,212398,"{""coordinates"": [[[2.3431364616094306, 48.84698545695212], [2.343129752299722, 48.84697027939291], [2.342990683055288, 48.847000936692346], [2.3429967230266384, 48.84701440269921], [2.3431364616094306, 48.84698545695212]]], ""type"": ""Polygon""}","48.846992474550724, 2.3430647783447855",pentagone
1654,EC322136,75001,2023-02-27,2023-07-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,11.94,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,810968,212481,"{""coordinates"": [[[2.3423216718876874, 48.86215213934754], [2.342329114250161, 48.86216402015811], [2.342447509151556, 48.8621341612675], [2.3424393426142176, 48.86212500870315], [2.3423216718876874, 48.86215213934754]]], ""type"": ""Polygon""}","48.86214433861938, 2.342382396997128",pentagone
1655,EC322407,75018,2023-02-10,2023-04-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,25.03,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,811214,212677,"{""coordinates"": [[[2.335935108440803, 48.88541679768879], [2.3359403551485194, 48.88542498460409], [2.3360219493574967, 48.88539766043606], [2.336038313537997, 48.88535980488465], [2.3359470897758157, 48.88523532822152], [2.3359358048531815, 48.885240389111814], [2.336025407469479, 48.88536109939514], [2.3360130903130694, 48.88538850469907], [2.335935108440803, 48.88541679768879]]], ""type"": ""Polygon""}","48.88534017824981, 2.335989230537633",nonagone
1656,EC322527,75016,2023-03-13,2023-05-22,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,27.22,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,811318,212754,"{""coordinates"": [[[2.2563341264343646, 48.84253647919466], [2.2563342635951127, 48.842526866658375], [2.256337502379481, 48.84251474346936], [2.256349910233557, 48.84250470086655], [2.256363034602558, 48.84249820534346], [2.25638608789071, 48.84249430057306], [2.256379478527977, 48.84247402001669], [2.25634415456065, 48.842478354852915], [2.2563141526292956, 48.84248575814549], [2.2562955907092856, 48.8424972797269], [2.256271497368091, 48.84252040479224], [2.2563341264343646, 48.84253647919466]]], ""type"": ""Polygon""}","48.842502853368195, 2.256328590023008",dodécagone
1657,EC322529,75016,2023-03-13,2023-05-22,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,83.65,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,811318,212754,"{""coordinates"": [[[2.2577155662141286, 48.84526482223289], [2.2577659623540614, 48.84527879633938], [2.258122569713699, 48.845269371332556], [2.2581221640864113, 48.845244069545636], [2.2577770768839773, 48.84525204878665], [2.2577518954677958, 48.845243797327555], [2.2577155662141286, 48.84526482223289]]], ""type"": ""Polygon""}","48.84526116249244, 2.25792349886014",heptagone
1658,EC322621,75018,2023-04-03,2023-06-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,10.06,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,811253,212701,"{""coordinates"": [[[2.3467636943359316, 48.88855928173463], [2.346737746049095, 48.88855361831102], [2.3467144404623235, 48.88859580533034], [2.346740092110838, 48.88860196087009], [2.3467636943359316, 48.88855928173463]]], ""type"": ""Polygon""}","48.88857766933421, 2.346739020084163",pentagone
1659,EC322705,75012,2023-03-15,2023-04-17,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,2.26,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,811414,212833,"{""coordinates"": [[[2.4081521388458467, 48.835396075759355], [2.4081708480493664, 48.83538865505194], [2.408161660862025, 48.8353776805313], [2.4081429594113968, 48.83538441865897], [2.4081521388458467, 48.835396075759355]]], ""type"": ""Polygon""}","48.83538675627082, 2.4081568477490123",pentagone
1660,EC322982,75005,2023-03-13,2023-04-20,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,44.64,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,811629,213003,"{""coordinates"": [[[2.353638342286164, 48.843659292343816], [2.3536343498406107, 48.84364743067858], [2.3534494074112504, 48.843650985656886], [2.3534441830240214, 48.84362727813171], [2.3532165241913585, 48.843626047510156], [2.353214964517742, 48.843640610533576], [2.353431618326577, 48.84363904941907], [2.353435475148517, 48.8436618393995], [2.353638342286164, 48.843659292343816]]], ""type"": ""Polygon""}","48.84364265470089, 2.3534178992181496",nonagone
1661,EC323045,75017,2023-03-06,2023-07-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,48.83,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,811634,213017,"{""coordinates"": [[[2.2963584834061868, 48.880611967377924], [2.2964541820250357, 48.88052965408953], [2.2964956961257403, 48.88052306758048], [2.296752511306211, 48.88062657744014], [2.296763008205482, 48.88061616542091], [2.2964979332778315, 48.880510786787895], [2.2964467413451275, 48.880518226553484], [2.296344065714761, 48.8806059632013], [2.2963584834061868, 48.880611967377924]]], ""type"": ""Polygon""}","48.88056428500289, 2.2965461383019394",nonagone
1662,EC323058,75019,2023-03-13,2023-12-29,Opérateurs de réseau (gaz-électricité-RATP-etc),RTE RESEAU TRANSPORT D'ELECTRICITE,770.52,Travaux sur réseau électrique,"EMPRISE_CHAUSSEE,EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR",STATIONNEMENT_PAYANT,811678,213044,"{""coordinates"": [[[2.399214090658347, 48.88577137776636], [2.3981041175692424, 48.88589398450531], [2.3981081339117347, 48.885904933270616], [2.3981585521518394, 48.88596347184362], [2.398370057932655, 48.885944498778635], [2.398818390559951, 48.885913831885695], [2.3992124498322336, 48.88585378800343], [2.399214831097245, 48.885826934472114], [2.399214090658347, 48.88577137776636]]], ""type"": ""Polygon""}","48.88587309047464, 2.398687327230518",nonagone
1663,EC323076,75019,2023-03-20,2023-05-19,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,25.27,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,811695,213058,"{""coordinates"": [[[2.3777786920499526, 48.882792258235966], [2.378039818200306, 48.88278041022048], [2.3780399541505455, 48.88276902723919], [2.377778148985761, 48.882779961606445], [2.3777786920499526, 48.882792258235966]]], ""type"": ""Polygon""}","48.882780487392054, 2.3779074187746234",pentagone
1664,EC323109,75019,2023-03-20,2023-05-19,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,31.77,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,811720,213074,"{""coordinates"": [[[2.37917828061459, 48.88272803360195], [2.379508494411821, 48.88271244147887], [2.379521057219857, 48.88270112290022], [2.3791770472868206, 48.88271573250114], [2.37917828061459, 48.88272803360195]]], ""type"": ""Polygon""}","48.882714464343145, 2.379342349470091",pentagone
1665,EC323129,75008,2023-03-13,2023-10-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,66.97,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,811733,213088,"{""coordinates"": [[[2.3014340858863624, 48.87314622184562], [2.3011765159673, 48.87299809226951], [2.301188414003779, 48.87303732271294], [2.301392511106655, 48.87315781905763], [2.301451873129011, 48.87315816549515], [2.3014340858863624, 48.87314622184562]]], ""type"": ""Polygon""}","48.873088464842276, 2.3013055205176802",hexagone
1666,EC323188,75002,2023-04-01,2023-04-01,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,206.55,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,811775,213120,"{""coordinates"": [[[2.334788406247205, 48.870809427333874], [2.3348664022373087, 48.87080986077241], [2.3348661940813473, 48.87070455753998], [2.334843271974838, 48.87068872046749], [2.3348550361294103, 48.870618773911914], [2.334853391993355, 48.870531335295084], [2.33476435894803, 48.87053038453887], [2.3347648247310446, 48.870777649356114], [2.3347891264196767, 48.87079349410936], [2.334788406247205, 48.870809427333874]]], ""type"": ""Polygon""}","48.87067169658222, 2.3348121783968647",décagone
1667,EC323198,75018,2023-03-06,2023-03-21,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,8107.22,Aménagement de voirie (VdP*),"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,811788,213128,"{""coordinates"": [[[2.3588602886604972, 48.90108251484317], [2.3598160365375582, 48.90109491262311], [2.3598347749709383, 48.90002039031371], [2.3588838096704086, 48.90006994590383], [2.3588602886604972, 48.90108251484317]]], ""type"": ""Polygon""}","48.90056739972408, 2.3593534418501156",pentagone
1668,EC323243,75001,2023-03-08,2023-06-09,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,9.95,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,ZONE_LIVRAISON,811815,213143,"{""coordinates"": [[[2.348391387154361, 48.86377490492176], [2.348401247612415, 48.86375902130261], [2.348400563623861, 48.863758561610304], [2.3483351601781717, 48.863745455475076], [2.34832528694408, 48.86376225005674], [2.348391387154361, 48.86377490492176]]], ""type"": ""Polygon""}","48.86376029163319, 2.3483631397401337",hexagone
1669,EC323308,75015,2023-03-22,2023-03-27,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,5.95,Travaux sur réseau électrique,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,811864,213181,"{""coordinates"": [[[2.2860735360576574, 48.84730898239977], [2.286078531722963, 48.84729694542791], [2.2861277835504024, 48.84727765833951], [2.286122375991184, 48.84726942925865], [2.2860668961502864, 48.84729004531574], [2.2860649340777, 48.84730733739341], [2.2860735360576574, 48.84730898239977]]], ""type"": ""Polygon""}","48.847287342722204, 2.286092241882203",heptagone
1670,EC323312,75015,2023-03-29,2023-04-03,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,3.92,Travaux sur réseau électrique,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,811864,213181,"{""coordinates"": [[[2.286699457273691, 48.84805666052433], [2.2867618303257586, 48.84803654035724], [2.2867574488258926, 48.84802900004628], [2.286709246310575, 48.84804715594354], [2.286698229650832, 48.84804549658847], [2.286699457273691, 48.84805666052433]]], ""type"": ""Polygon""}","48.848042906252, 2.2867297617790756",hexagone
1671,EC323352,75008,2023-02-21,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),FRAICHEUR DE PARIS,3.04,,EMPRISE_TROTTOIR,,811878,213193,"{""coordinates"": [[[2.2990634737982116, 48.8709204374753], [2.2990646940500614, 48.870932284494096], [2.299090892869937, 48.87093471505151], [2.299094534454648, 48.87092061936193], [2.2990634737982116, 48.8709204374753]]], ""type"": ""Polygon""}","48.87092685984453, 2.2990788675855334",pentagone
1672,EC323373,75012,2023-03-27,2023-04-23,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,125.69,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,811872,213192,"{""coordinates"": [[[2.383907819187534, 48.841811686899185], [2.383987464493143, 48.84178568554457], [2.384059273304677, 48.84178059078732], [2.3840560226702747, 48.8417637254354], [2.3840575588993222, 48.84175052713931], [2.384061800279933, 48.84174189713188], [2.38406746487946, 48.84172963114366], [2.3840779526382967, 48.84171784506456], [2.384097456485549, 48.84170200791906], [2.3840261536499305, 48.84166430025019], [2.3838827578310164, 48.841772396084984], [2.383907819187534, 48.841811686899185]]], ""type"": ""Polygon""}","48.84174182778609, 2.383992633543525",dodécagone
1673,EC323436,75018,2023-03-06,2023-06-09,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,19.86,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,811943,213245,"{""coordinates"": [[[2.3503401541899938, 48.89170250934172], [2.350348920243132, 48.89171940481189], [2.3504804289366876, 48.891695073865236], [2.3504716628449738, 48.891678178404284], [2.3503401541899938, 48.89170250934172]]], ""type"": ""Polygon""}","48.89169879160642, 2.350410291552686",pentagone
1674,EC323477,75018,2023-03-06,2023-07-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,18.21,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,"AUTOCAR,AUTRE",738047,201956,"{""coordinates"": [[[2.3600000088712636, 48.890934073927575], [2.359974984434644, 48.89093337090542], [2.359968703719797, 48.89102304115075], [2.359993381808992, 48.8910237423228], [2.3600000088712636, 48.890934073927575]]], ""type"": ""Polygon""}","48.89097845311112, 2.359984277374779",pentagone
1675,EC323505,75017,2023-03-26,2023-03-26,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,180.76,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,"STATIONNEMENT_PAYANT,ZONE_LIVRAISON",811106,212589,"{""coordinates"": [[[2.2914945886765183, 48.88060718751741], [2.291771182751682, 48.88075340159518], [2.2918332776836685, 48.8807057281089], [2.2915546125832007, 48.88055950281172], [2.2914945886765183, 48.88060718751741]]], ""type"": ""Polygon""}","48.88065660194558, 2.291663751082692",pentagone
1676,EC323592,75010,2023-02-27,2023-03-24,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,11.24,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,812063,213338,"{""coordinates"": [[[2.3652518313635498, 48.877754800611946], [2.365188176010292, 48.877808365485464], [2.3652046413315264, 48.877816876845976], [2.365231342333062, 48.87779316992374], [2.3652668905926317, 48.87776535318888], [2.3652518313635498, 48.877754800611946]]], ""type"": ""Polygon""}","48.87778595149479, 2.365227816848577",hexagone
1677,EC323650,75013,2023-03-27,2023-03-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,109.75,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,812113,213383,"{""coordinates"": [[[2.3502983682138328, 48.82584848164334], [2.350272147240906, 48.825871654612534], [2.3502653402476468, 48.82588655446778], [2.3503767749357336, 48.825932333713354], [2.3504757350608516, 48.825916477414324], [2.3503936120789284, 48.82582094750855], [2.3502983682138328, 48.82584848164334]]], ""type"": ""Polygon""}","48.825881015257245, 2.3503700780792434",heptagone
1678,EC323700,75010,2023-03-23,2023-04-14,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,6.28,Aménagement de voirie (VdP*),EMPRISE_CHAUSSEE,,812157,213451,"{""coordinates"": [[[2.3568975610337115, 48.87462827397585], [2.356929281562926, 48.874631176569466], [2.3569385584577915, 48.874606636758415], [2.3569075122757037, 48.87460510388139], [2.3568975610337115, 48.87462827397585]]], ""type"": ""Polygon""}","48.874617883285964, 2.3569183388194967",pentagone
1679,EC324190,75004,2023-03-06,2023-12-15,Opérateurs de réseau (gaz-électricité-RATP-etc),EAU DE PARIS,131.43,Travaux sur réseau d'eau,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,812543,213754,"{""coordinates"": [[[2.3492351976340906, 48.855344300946435], [2.348690878267035, 48.85549798593696], [2.348729971291265, 48.85551732434301], [2.3492223334227225, 48.85537975000928], [2.3492351976340906, 48.855344300946435]]], ""type"": ""Polygon""}","48.855434017825175, 2.3489715872717625",pentagone
1680,EC297288,75007,2022-09-26,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,30.19,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,696693,195965,"{""coordinates"": [[[2.3084888510838586, 48.85790307732915], [2.3085164545959262, 48.85790323683965], [2.3085340897189393, 48.85777037099631], [2.308506505769714, 48.85776884548311], [2.3084888510838586, 48.85790307732915]]], ""type"": ""Polygon""}","48.85783631730607, 2.308511460396691",pentagone
1681,EC297434,75018,2022-09-12,2023-05-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,23.18,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,703657,196605,"{""coordinates"": [[[2.3295857344560233, 48.89362121683845], [2.329567457561705, 48.89362475767345], [2.329643060948275, 48.893759965167156], [2.3296629915872433, 48.89375679780391], [2.3295857344560233, 48.89362121683845]]], ""type"": ""Polygon""}","48.89369145847849, 2.329615255928695",pentagone
1682,EC297498,75005,2022-09-15,2023-03-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,18.64,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,703838,196658,"{""coordinates"": [[[2.343723509756941, 48.85162389262622], [2.343827106504856, 48.85172600798584], [2.343843102773571, 48.85171607778456], [2.3437360084053314, 48.85161758564575], [2.343723509756941, 48.85162389262622]]], ""type"": ""Polygon""}","48.851673578249866, 2.3437852348782897",pentagone
