,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
6287,EC325217,75016,2023-03-20,2023-04-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,6.42,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,813377,214410,"{""coordinates"": [[[2.2792348344606324, 48.86948353215396], [2.2792586889581528, 48.86947566170993], [2.2792441177105007, 48.86945116656305], [2.279215896963921, 48.86945536835177], [2.2792348344606324, 48.86948353215396]]], ""type"": ""Polygon""}","48.869466360922836, 2.279237953423333",pentagone
6288,EC325337,75017,2023-03-01,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,2.84,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,813476,214490,"{""coordinates"": [[[2.2962694650905875, 48.887723267343645], [2.2962623068921513, 48.887716394851196], [2.296224196703719, 48.88772618850743], [2.29623169067602, 48.8877337455681], [2.2962694650905875, 48.887723267343645]]], ""type"": ""Polygon""}","48.88772497485114, 2.2962466524726333",pentagone
6289,EC325399,75018,2023-03-13,2023-05-16,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,27.03,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,813514,214524,"{""coordinates"": [[[2.3484626721716917, 48.89084606620387], [2.348480557388509, 48.890851626908315], [2.348418727299934, 48.89060540008742], [2.3484077025199017, 48.89060351896522], [2.3484626721716917, 48.89084606620387]]], ""type"": ""Polygon""}","48.89073563477224, 2.348444570593749",pentagone
6290,EC325544,75013,2023-03-26,2023-04-09,Ville de Paris (Tvx sur espace ou édifice public),Direction des Espaces Verts et de l'Environnement,234.07,Végétalisation de l'espace public (VdP*),"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,813649,214614,"{""coordinates"": [[[2.3728998088201334, 48.83834943872105], [2.3728183787125126, 48.83835174406241], [2.3725872151640046, 48.83852903845961], [2.3725976830594706, 48.8385764520667], [2.372672313128683, 48.838565914410225], [2.3729214449721496, 48.83838598178445], [2.3728998088201334, 48.83834943872105]]], ""type"": ""Polygon""}","48.83845816769656, 2.372750418680383",heptagone
6291,EC325616,75014,2023-03-13,2023-06-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,17.92,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,765536,205562,"{""coordinates"": [[[2.329062397903317, 48.824905505808125], [2.329003238325435, 48.82486692149296], [2.3290082235062406, 48.82485465405541], [2.3289820816005347, 48.824849498729336], [2.328972441171061, 48.82487517316783], [2.3290288573219495, 48.824912603491484], [2.329062397903317, 48.824905505808125]]], ""type"": ""Polygon""}","48.82488324006265, 2.3290104052379252",heptagone
6292,EC325722,75002,2023-03-24,2023-06-19,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,12.19,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,813779,214724,"{""coordinates"": [[[2.3418069560632278, 48.871536551724994], [2.3417538350633293, 48.87154500299531], [2.3417634429396825, 48.87157128418279], [2.341817111459269, 48.87156320105097], [2.3418069560632278, 48.871536551724994]]], ""type"": ""Polygon""}","48.8715540148546, 2.3417854143456696",pentagone
6293,EC325843,75007,2023-04-03,2023-09-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,14.34,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,813811,214745,"{""coordinates"": [[[2.3045105009715723, 48.862778183368114], [2.3045073626715995, 48.86280639754939], [2.304576387350861, 48.86280588762041], [2.304576703409985, 48.862782210450845], [2.3045105009715723, 48.862778183368114]]], ""type"": ""Polygon""}","48.862793224203266, 2.304541733760134",pentagone
6294,EC325861,75020,2023-03-20,2023-06-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,19.5,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,813886,214823,"{""coordinates"": [[[2.396733910771149, 48.86642755510167], [2.3967210344868226, 48.8664368253398], [2.396880634495468, 48.86651253655559], [2.3968929523930553, 48.866503809386074], [2.396733910771149, 48.86642755510167]]], ""type"": ""Polygon""}","48.86646983951581, 2.3968064177545214",pentagone
6295,EC325901,75007,2023-03-20,2023-05-19,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,9.95,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,813937,214842,"{""coordinates"": [[[2.318764759566193, 48.85895954594441], [2.3187776681995924, 48.858975102681164], [2.3188393433806014, 48.85895564462269], [2.3188260928837665, 48.85893985930968], [2.318764759566193, 48.85895954594441]]], ""type"": ""Polygon""}","48.85895751293027, 2.318802055305963",pentagone
6296,EC325909,75008,2023-03-20,2023-09-29,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,33.68,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,662842,197154,"{""coordinates"": [[[2.300286611917693, 48.87392445508987], [2.300275232893993, 48.87391502822126], [2.300006891237525, 48.874049055837126], [2.3000205769139783, 48.874057989889096], [2.300286611917693, 48.87392445508987]]], ""type"": ""Polygon""}","48.873987104801586, 2.300146367439691",pentagone
